[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
2.643092844E+3	100.000001490E-3	989.536151873E-12	15.984919689E-12	101.057451313E+6	1.632477237E+6
2.663092248E+3	100.000001490E-3	1.001108676E-9	29.216909012E-12	99.889256675E+6	2.915223286E+6
2.683093569E+3	100.000001490E-3	1.027294768E-9	15.899600141E-12	97.343045652E+6	1.506593386E+6
2.698093857E+3	100.000001490E-3	1.013545587E-9	16.216215106E-12	98.663545822E+6	1.578566670E+6
2.713092501E+3	100.000001490E-3	1.028459814E-9	19.960126169E-12	97.232774777E+6	1.887072713E+6
2.728092823E+3	100.000001490E-3	1.024285602E-9	14.521064556E-12	97.629021944E+6	1.384064491E+6
2.743092878E+3	100.000001490E-3	969.840230595E-12	49.466441920E-12	103.109768326E+6	5.259086193E+6
2.763093159E+3	100.000001490E-3	916.120052933E-12	8.572340239E-12	109.156001083E+6	1.021397116E+6
2.783092452E+3	100.000001490E-3	1.007740861E-9	38.015916469E-12	99.231861453E+6	3.743412917E+6
2.798092726E+3	100.000001490E-3	1.011121520E-9	21.219351117E-12	98.900082242E+6	2.075512714E+6
2.818093447E+3	100.000001490E-3	1.000577726E-9	6.625925652E-12	99.942262265E+6	661.827644312E+3
2.838092805E+3	100.000001490E-3	1.037524563E-9	27.364240592E-12	96.383261714E+6	2.542064889E+6
2.853093672E+3	100.000001490E-3	956.267816442E-12	46.775548340E-12	104.573216593E+6	5.115166969E+6
2.873093052E+3	100.000001490E-3	1.031801402E-9	18.683228144E-12	96.917877160E+6	1.754929590E+6
2.888092521E+3	100.000001490E-3	1.052646675E-9	20.233896489E-12	94.998639034E+6	1.826056810E+6
2.903093054E+3	100.000001490E-3	1.050775726E-9	18.132144634E-12	95.167787933E+6	1.642211608E+6
2.918093336E+3	100.000001490E-3	1.033094363E-9	16.144577956E-12	96.796580328E+6	1.512678796E+6
2.933092000E+3	100.000001490E-3	1.000819144E-9	21.429895408E-12	99.918154175E+6	2.139483050E+6
2.953093950E+3	100.000001490E-3	1.025733587E-9	14.599089606E-12	97.491203140E+6	1.387575515E+6
2.968092391E+3	100.000001490E-3	1.033977437E-9	20.907016778E-12	96.713910702E+6	1.955554620E+6
2.983092169E+3	100.000001490E-3	1.037006085E-9	16.071029152E-12	96.431451023E+6	1.494448956E+6
2.998092642E+3	100.000001490E-3	1.029883149E-9	16.207577017E-12	97.098395618E+6	1.528066292E+6
3.013093299E+3	100.000001490E-3	1.040912608E-9	16.785585887E-12	96.069545815E+6	1.549201729E+6
3.028092289E+3	100.000001490E-3	1.029597780E-9	21.520884005E-12	97.125307957E+6	2.030134997E+6
3.043093003E+3	100.000001490E-3	1.035188560E-9	18.837946457E-12	96.600759821E+6	1.757901904E+6
3.058092869E+3	100.000001490E-3	1.036156353E-9	26.472909522E-12	96.510532571E+6	2.465761647E+6
3.073093328E+3	100.000001490E-3	1.035208774E-9	18.006333825E-12	96.598873595E+6	1.680232634E+6
3.088092782E+3	100.000001490E-3	1.028720086E-9	24.847800582E-12	97.208174407E+6	2.347975282E+6
3.103093683E+3	100.000001490E-3	1.033671385E-9	13.528481122E-12	96.742545995E+6	1.266146791E+6
3.118094060E+3	100.000001490E-3	1.025884251E-9	18.061394487E-12	97.476885279E+6	1.716147290E+6
3.133092490E+3	100.000001490E-3	1.032861485E-9	20.675625693E-12	96.818404902E+6	1.938092502E+6
3.148091460E+3	100.000001490E-3	1.046569749E-9	12.029404151E-12	95.550250276E+6	1.098266578E+6
3.163092146E+3	100.000001490E-3	1.047736922E-9	18.724181894E-12	95.443807847E+6	1.705683154E+6
3.178092509E+3	100.000001490E-3	1.040787554E-9	16.234564902E-12	96.081088877E+6	1.498706116E+6
3.193093274E+3	100.000001490E-3	1.056183002E-9	16.115889663E-12	94.680563188E+6	1.444694249E+6
